  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  1.000000000000000036E-10  9.999999997274139352E-01  6.866973351924006153E-01 -9.020562075079396891E-17  0.000000000000000000E+00  2.788095436856923293E+00  1.793838547322270216E+00  9.942568895346213242E-01
  2.999999999999999980E-10  9.999999991822392520E-01  6.866973326071228456E-01  1.526556658859590243E-16  0.000000000000000000E+00  2.788095428799036490E+00  1.793838548483613238E+00  9.942568803153939427E-01
  7.000000000000000643E-10  9.999999980918932163E-01  6.866973274327229371E-01 -2.775557561562891351E-16  0.000000000000000000E+00  2.788577497733236488E+00  1.794227679575043144E+00  9.943498181581869044E-01
  1.500000000000000197E-09  9.999999959111989245E-01  6.866973170839234530E-01  1.665334536937734811E-16  0.000000000000000000E+00  2.788577465991828319E+00  1.794227684414971602E+00  9.943497815768500558E-01
  3.100000000000000462E-09  9.999999915498132275E-01  6.866972963863231527E-01 -7.632783294297951215E-17  0.000000000000000000E+00  2.788577401983716175E+00  1.794227694008012408E+00  9.943497079757077639E-01
  6.300000000000000165E-09  9.999999828270391689E-01  6.866972549911243284E-01  2.289834988289385365E-16  0.000000000000000000E+00  2.788577274628396552E+00  1.794227713215390985E+00  9.943495614130051230E-01
  1.270000000000000123E-08  9.999999653814910516E-01  6.866971722007266798E-01  1.040834085586084257E-16  0.000000000000000000E+00  2.788577022628697222E+00  1.794227751594040132E+00  9.943492710346643060E-01
  2.550000000000000335E-08  9.999999304903970376E-01  6.866970066199327150E-01 -1.040834085586084257E-16  0.000000000000000000E+00  2.788576537951911849E+00  1.794227827596440283E+00  9.943487103554770057E-01
  5.110000000000000097E-08  9.999998607082071223E-01  6.866966754583551102E-01 -1.387778780781445676E-17  0.000000000000000000E+00  2.788575574223410403E+00  1.794227979865168132E+00  9.943475943582466003E-01
  1.023000000000000095E-07  9.999997211438375055E-01  6.866960131352343177E-01  4.857225732735059864E-17  0.000000000000000000E+00  2.788573667059786487E+00  1.794228292091174737E+00  9.943453749686124166E-01
  2.047000000000000264E-07  9.999994420151232521E-01  6.866946884891350633E-01 -2.359223927328457648E-16  0.000000000000000000E+00  2.788569789421658118E+00  1.794228864359546760E+00  9.943409250621159101E-01
  4.095000000000000603E-07  9.999988837577931111E-01  6.866920391975050997E-01 -2.012279232133096230E-16  0.000000000000000000E+00  2.788562104932480690E+00  1.794230148349136966E+00  9.943319565833486084E-01
  8.191000000000001282E-07  9.999977672435405029E-01  6.866867406165234611E-01  2.012279232133096230E-16  0.000000000000000000E+00  2.788547180840876827E+00  1.794234119705236941E+00  9.943130611356464366E-01
  1.638300000000000052E-06  9.999955342166575445E-01  6.866761434636847738E-01  5.551115123125782702E-17  0.000000000000000000E+00  2.788518244259292622E+00  1.794246787159088363E+00  9.942714571002069235E-01
  3.276700000000000324E-06  9.999910681693853221E-01  6.866549491945811434E-01  2.289834988289385365E-16  0.000000000000000000E+00  2.788463270813771988E+00  1.794289223925931376E+00  9.941740468878446091E-01
  6.553500000000000867E-06  9.999821360878020648E-01  6.866125607547656218E-01 -1.873501354054951662E-16  0.000000000000000000E+00  2.788354109714972218E+00  1.794441436698944958E+00  9.939126730160301459E-01
  1.310710000000000195E-05  9.999642720171979526E-01  6.865277844161650211E-01 -1.457167719820517959E-16  0.000000000000000000E+00  2.788140543673302219E+00  1.794995029580324308E+00  9.931455140929822401E-01
  2.621430000000000412E-05  9.999285441311527300E-01  6.863582334500990534E-01  1.110223024625156540E-16  0.000000000000000000E+00  2.787696885816813186E+00  1.796958848770049411E+00  9.907380370467693265E-01
  5.242870000000000169E-05  9.998570892305989055E-01  6.860191377612995245E-01  3.469446951953614189E-17  0.000000000000000000E+00  2.786810422613833271E+00  1.803674236197219116E+00  9.831361864166195952E-01
  1.048575000000000104E-04  9.997141855298092850E-01  6.853409809499741989E-01 -9.714451465470119729E-17  0.000000000000000000E+00  2.785040065068419946E+00  1.823064702495279965E+00  9.619753625731420899E-01
  1.823109760345865754E-04  9.995030812861658287E-01  6.843391942625975943E-01 -1.110223024625156540E-16  0.000000000000000000E+00  2.782427132983378737E+00  1.854294211900670453E+00  9.281329210827151677E-01
  2.507350353143799780E-04  9.993165809671511468E-01  6.834541955829217530E-01  1.804112415015879378E-16  0.000000000000000000E+00  2.780118666817445128E+00  1.882875574838271282E+00  8.972430919791789528E-01
  3.166067200163919784E-04  9.991370497244126403E-01  6.826022818185053520E-01  1.249000902703301108E-16  0.000000000000000000E+00  2.777895017369760744E+00  1.904726776636112895E+00  8.731682407336529561E-01
  3.821558467908511597E-04  9.989584272724344460E-01  6.817546825874815086E-01 -9.714451465470119729E-17  0.000000000000000000E+00  2.775680536046557734E+00  1.923798204993547589E+00  8.518823310530176940E-01
  4.478047196103691202E-04  9.987795647556785283E-01  6.809059428568826622E-01  8.326672684688674053E-17  0.000000000000000000E+00  2.773462195761127624E+00  1.937625094280262861E+00  8.358371014808724242E-01
  5.133967804437194722E-04  9.986008816637437224E-01  6.800580525548526323E-01 -2.428612866367529932E-16  0.000000000000000000E+00  2.771245742671542001E+00  1.948712367402282375E+00  8.225333752692662870E-01
  5.790750053007117683E-04  9.984219785883058362E-01  6.792091172842846802E-01 -8.326672684688674053E-17  0.000000000000000000E+00  2.769026982335102360E+00  1.954877943508035010E+00  8.141490388270770096E-01
  6.455127908293117542E-04  9.982410105550600932E-01  6.783503835083961597E-01  6.938893903907228378E-17  0.000000000000000000E+00  2.766782255221283737E+00  1.957184279885378020E+00  8.095979753359122677E-01
  7.136916101648290572E-04  9.980553048113134373E-01  6.774691664125909174E-01 -4.163336342344337027E-17  0.000000000000000000E+00  2.764478453161196558E+00  1.958732910845921715E+00  8.057455423152779517E-01
  7.840472543553076053E-04  9.978636817971979767E-01  6.765598644216679336E-01  1.387778780781445676E-17  0.000000000000000000E+00  2.762101067569551649E+00  1.956549012564791079E+00  8.055520550047616801E-01
  8.571682506116121408E-04  9.976645483732077269E-01  6.756149120609861169E-01  1.318389841742373392E-16  0.000000000000000000E+00  2.759630271519127653E+00  1.955199807181732474E+00  8.044304643373944019E-01
  9.324577026119259225E-04  9.974595520658174896E-01  6.746421205079421446E-01  4.857225732735059864E-17  0.000000000000000000E+00  2.757086623447181584E+00  1.954389320670987251E+00  8.026973027761992174E-01
  1.010608080709401481E-03  9.972468437329287116E-01  6.736327048436524523E-01 -2.151057110211240797E-16  0.000000000000000000E+00  2.754447664938950879E+00  1.952848156285300396E+00  8.015995086536554792E-01
  1.090120524649844380E-03  9.970305438748399141E-01  6.726062096678058211E-01  7.632783294297951215E-17  0.000000000000000000E+00  2.751763294893764478E+00  1.952445164769129216E+00  7.993181301246403692E-01
  1.172325640004258460E-03  9.968070706769717182E-01  6.715456296611579390E-01 -2.081668171172168513E-17  0.000000000000000000E+00  2.748991353763456047E+00  1.952353101976419758E+00  7.966382517870462809E-01
  1.257321156166911697E-03  9.965761940063031510E-01  6.704498546423599548E-01 -1.804112415015879378E-16  0.000000000000000000E+00  2.746125742444803564E+00  1.952493740882195628E+00  7.936320015626151525E-01
  1.343665208274362781E-03  9.963418559495669236E-01  6.693375887889345677E-01  3.469446951953614189E-17  0.000000000000000000E+00  2.743217012282088696E+00  1.951941254864345110E+00  7.912757574177485820E-01
  1.432801989634081103E-03  9.961001754997158564E-01  6.681904016797370893E-01 -1.110223024625156540E-16  0.000000000000000000E+00  2.740216927079928588E+00  1.951808448555857334E+00  7.884084785240784710E-01
